Type,Data Provider,Dataset Title,Province / Territory,Link to Dataset,Licence title (if provided) ,Licence version (if provided) ,Link to data licence,Attribution statement (in language of origin),Date last updated as of date of download / update frequency (y-m-d),Date data were obtained (y-m-d)
Open Data,Alberta (Province),Government of Alberta - Open Data - Alberta Public Library Directory - Open Government,Alberta,https://open.alberta.ca/publications/6656702#summary,Open Government Licence – Alberta,Version 2.1,https://open.alberta.ca/licence,Contains information licensed under the Open Government Licence – Alberta,2019-02-19,2020-03-05
Open Data,Barrie (Municipality),Barrie - Open Data - City Facilities,Ontario,http://public-barrie.opendata.arcgis.com/datasets/city-facilities/data,Open Government Licence – Barrie,Version 1.0,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence – Barrie,2019-04-16,2020-03-10
Open Data,Barrie (Municipality),Barrie - Open Data - Facility Site,Ontario,https://opendata.arcgis.com/datasets/42010c8e468844bfb6e7db2dd6aad529_1,Open Government Licence – Barrie,Version 1.0,https://www.barrie.ca/Online%20Services/PublishingImages/OpenData_Images/COB_DataLicense.pdf,Contains information licensed under the Open Government Licence – Barrie,2019-08-03,2019-09-10
Open Data,Blainville (Municipality),Bâtiments Municipaux - Jeux De Données - Données Québec (French Only),Québec,https://www.donneesquebec.ca/recherche/fr/dataset/batiments-municipaux,Données Quebéc - License Creative Commons (CC BY) (French Only),Creative Commons 4.0 (CC),https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Blainvillel et visée par CC BY,2019-01-14,2020-02-04
Open Data,Blainville (Municipality),Bâtiments Municipaux - Jeux De Données - Données Québec (French Only),Québec,https://www.donneesquebec.ca/recherche/fr/dataset/0427c2ca-0b27-4cc9-8526-adf0a804b362,Données Quebéc - License Creative Commons (CC BY) (French Only),Creative Commons 4.0 (CC),https://www.donneesquebec.ca/fr/licence/#cc-by,Contient de l’information fournie par la ville de Blainvillel et visée par CC BY,2019-03-06,2019-09-10
Open Data,Brampton (Municipality),Brampton - Open Data - Supplementary City Facilities,Ontario,http://geohub.brampton.ca/datasets/supplementary-city-facilities,Terms and Conditions - City of Brampton,,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,"Copyright © 2012, The City of Brampton (All rights reserved) All intellectual property and other rights in and to the Dataset belong to the City of Brampton",2020-08-31,2020-02-04
Open Data,Brampton (Municipality),Brampton - Open Data - Culture Map Listings,Ontario,http://geohub.brampton.ca/datasets/culture-map-listings,Terms and Conditions - City of Brampton,,http://www.brampton.ca/EN/City-Hall/OpenGov/Open-Data-Catalogue/Pages/Terms-of-Use.aspx,"Copyright © 2012, The City of Brampton (All rights reserved) All intellectual property and other rights in and to the Dataset belong to the City of Brampton",2020-08-31,2020-02-04
Open Data,Brampton (Municipality),City of Brampton - Open Data - Libraries,Ontario,https://opendata.arcgis.com/datasets/d1352170770448b78deda4dd966d78ad_5,Creative Commons CC-By Licence,Version 4.0,https://creativecommons.org/licenses/by/4.0/,Licensed from the City of Brampton under a Creative Commons CC-BY license,2019-05-08,2020-02-29
Open Data,British Columbia (Province),Government of British Columbia - Open Data - BC Public Libraries Mailing Address List,British Columbia,https://www2.gov.bc.ca/assets/gov/residents/sports-and-recreation/arts-culture/public-libraries/bc_public_libraries_mailing_address_list,Open Government Licence – British Columbia,Version 2.0,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Contains information licensed under the Open Government Licence – British Columbia,2018-08-31,2020-03-05
Open Data,Burlington (Municipality),Burlington - Open Data - Facilities,Ontario,https://navburl-burlington.opendata.arcgis.com/datasets/facilities/data,City of Burlington - Open Data Terms of Use,Custom Licence,https://www.burlington.ca/en/services-for-you/resources/Ongoing_Projects/Open_Data/OpenDataBurlingtonTermsOfUseSeptember192011.pdf,"The Corporation of the City of Burlington (the City) now grants you a worldwide, royalty-free, nonexclusive, revocable licence to use, reproduce, modify, and distribute the datasets in all current and
future media and formats for any lawful purpose",2020-09-07,2020-03-10
